Ruído,Plataforma,Similaridade Espectral com Original (%),Nível Médio (Base) [dBFS],Nível Médio (Filtrado) [dBFS]
bebe,discord,64.84,-17.37,-16.49
bebe,krisp,58.64,-17.37,-16.75
bebe,teams,37.55,-17.57,-19.66
bebe,telegram,46.68,-17.29,-22.27
bebe,whatsapp,66.1,-17.42,-21.61
bebe,zoom,95.91,-17.0,-17.11
cachorro,discord,53.52,-17.01,-16.56
cachorro,krisp,53.49,-17.03,-16.72
cachorro,teams,42.99,-16.9,-18.5
cachorro,telegram,55.31,-17.05,-20.24
cachorro,whatsapp,66.75,-17.13,-21.99
cachorro,zoom,96.11,-17.04,-17.38
caminhao,discord,53.45,-17.8,-17.19
caminhao,krisp,54.08,-17.8,-16.47
caminhao,teams,70.96,-17.92,-18.86
caminhao,telegram,58.29,-17.65,-22.03
caminhao,whatsapp,60.55,-17.75,-22.59
caminhao,zoom,96.98,-17.84,-17.45
multidao,discord,93.69,-18.31,-19.2
multidao,krisp,96.75,-18.31,-16.69
multidao,teams,67.79,-18.24,-18.77
multidao,telegram,68.26,-18.29,-21.83
multidao,whatsapp,60.49,-18.36,-23.11
multidao,zoom,98.39,-18.35,-18.1
obras,discord,97.72,-18.04,-17.51
obras,krisp,87.08,-18.04,-16.54
obras,teams,46.15,-18.5,-19.27
obras,telegram,69.7,-18.1,-21.54
obras,whatsapp,62.33,-18.1,-21.85
obras,zoom,96.63,-17.95,-17.33
